trial_uid,trial_index,trial_name,model_type,status,error_message,checkpoint_path,elapsed_seconds,objective_metric,objective_mode,RMSE,MSE,MAE,Pearson,Spearman,R2,epochs,patience,valid_split,seed,lr,batch_size,hidden_dim,num_layers,atom_emb_dim,hibrid_emb_dim,bond_emb_dim
efbe78c1749e,1,trial_0001_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0001_GIN/Modelos/trial_0001_GIN.pt,8.65,RMSE,min,0.739109898859833,0.5462834425925925,0.5858259259259259,0.7232556915435864,0.7255267831910008,0.4272405778386392,50,10,0.2,42,0.001,16,64,2,0.4,0.5,1
1847d4e795f2,2,trial_0002_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0002_GIN/Modelos/trial_0002_GIN.pt,10.191,RMSE,min,0.7286336324182444,0.5309069702910053,0.5834124338624339,0.7226762264998059,0.7231324045741081,0.44336228079295226,50,10,0.2,42,0.001,16,64,3,0.4,0.5,1
2991a01621d9,3,trial_0003_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0003_GIN/Modelos/trial_0003_GIN.pt,8.782,RMSE,min,0.7879543142861243,0.6208720014021164,0.6193664021164021,0.7225951505236536,0.7248578824229779,0.3490370363934846,50,10,0.2,42,0.001,16,128,2,0.4,0.5,1
c5d206b650ba,4,trial_0004_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0004_GIN/Modelos/trial_0004_GIN.pt,12.956,RMSE,min,0.733153414833853,0.5375139296825397,0.5895693121693122,0.7207662188480346,0.7331567872456336,0.4364351108509539,50,10,0.2,42,0.001,16,128,3,0.4,0.5,1
d66439dc10e8,5,trial_0005_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0005_GIN/Modelos/trial_0005_GIN.pt,7.096,RMSE,min,0.8112782358429079,0.658172375952381,0.6634462962962963,0.7108400058008825,0.712167967201911,0.3099288751202446,50,10,0.2,42,0.001,32,64,2,0.4,0.5,1
f0f29985ef2a,6,trial_0006_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0006_GIN/Modelos/trial_0006_GIN.pt,6.862,RMSE,min,0.7947115653430162,0.6315664720899471,0.6410034391534392,0.7163846948832263,0.7156819321512963,0.33782425128249294,50,10,0.2,42,0.001,32,64,3,0.4,0.5,1
4ebd7ddd62a5,7,trial_0007_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0007_GIN/Modelos/trial_0007_GIN.pt,5.822,RMSE,min,0.8571546031977363,0.7347140137830688,0.6980690476190475,0.7119483957768806,0.7130251148863577,0.2296775974188191,50,10,0.2,42,0.001,32,128,2,0.4,0.5,1
a4ecaf8b1e9a,8,trial_0008_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0008_GIN/Modelos/trial_0008_GIN.pt,8.11,RMSE,min,0.8272343068717644,0.6843165984656084,0.669725925925926,0.7215307084576362,0.7238641716843419,0.2825175559917207,50,10,0.2,42,0.001,32,128,3,0.4,0.5,1
a8fd6a5283e7,9,trial_0009_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0009_GIN/Modelos/trial_0009_GIN.pt,8.944,RMSE,min,0.7667816962877405,0.5879541697619047,0.6043510582010583,0.7159220917525534,0.7192629566209081,0.38355025198642645,50,10,0.2,42,0.0005,16,64,2,0.4,0.5,1
75be7dfeedf6,10,trial_0010_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0010_GIN/Modelos/trial_0010_GIN.pt,10.244,RMSE,min,0.7386919532159748,0.5456658017460319,0.5905079365079364,0.7267014661756704,0.7259842261639009,0.4278881530473999,50,10,0.2,42,0.0005,16,64,3,0.4,0.5,1
a77c1e95e507,11,trial_0011_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0011_GIN/Modelos/trial_0011_GIN.pt,10.768,RMSE,min,0.7806836886131711,0.6094670216666667,0.6216410052910053,0.7161300712820585,0.7204571068636416,0.3609947658315885,50,10,0.2,42,0.0005,16,128,2,0.4,0.5,1
2da564066b7b,12,trial_0012_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0012_GIN/Modelos/trial_0012_GIN.pt,12.637,RMSE,min,0.7955371022012965,0.632879280978836,0.6363293650793651,0.7114729965891837,0.7129926762574386,0.33644781626363207,50,10,0.2,42,0.0005,16,128,3,0.4,0.5,1
5bd30655b49e,13,trial_0013_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0013_GIN/Modelos/trial_0013_GIN.pt,6.854,RMSE,min,0.8306344759075062,0.6899536325661375,0.6646955026455027,0.7183801724781907,0.7212819989125563,0.27660731939586114,50,10,0.2,42,0.0005,32,64,2,0.4,0.5,1
41d6b539c9e3,14,trial_0014_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0014_GIN/Modelos/trial_0014_GIN.pt,7.757,RMSE,min,0.8077278157023312,0.6524242242592592,0.6401589947089947,0.7054702952662153,0.7118924450659802,0.3159556146945275,50,10,0.2,42,0.0005,32,64,3,0.4,0.5,1
6a1c2c9b4342,15,trial_0015_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0015_GIN/Modelos/trial_0015_GIN.pt,8.402,RMSE,min,0.8263477867436232,0.6828506646560846,0.6639343915343915,0.7148427055779939,0.716698376719004,0.2840545372293086,50,10,0.2,42,0.0005,32,128,2,0.4,0.5,1
1c02d8d9af18,16,trial_0016_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0016_GIN/Modelos/trial_0016_GIN.pt,6.355,RMSE,min,0.9135319675816774,0.8345406557936509,0.7556230158730158,0.7046485724930356,0.6994306577209033,0.12501279278381716,50,10,0.2,42,0.0005,32,128,3,0.4,0.5,1
f8539a08d58f,17,trial_0017_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0017_GIN/Modelos/trial_0017_GIN.pt,8.911,RMSE,min,0.8800820716899379,0.7745444529100529,0.7163582010582011,0.7113253428437478,0.7120378398765506,0.1879167503564666,50,10,0.2,42,0.0001,16,64,2,0.4,0.5,1
1e8f5acce5e7,18,trial_0018_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0018_GIN/Modelos/trial_0018_GIN.pt,6.503,RMSE,min,0.9035725309004716,0.8164433185978837,0.741749470899471,0.7090730376011823,0.7075513441142821,0.14398722910521455,50,10,0.2,42,0.0001,16,64,3,0.4,0.5,1
32f4bb8bbe83,19,trial_0019_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0019_GIN/Modelos/trial_0019_GIN.pt,10.69,RMSE,min,0.8300782306792649,0.689029869047619,0.6723486772486772,0.7163253340835717,0.719186812362786,0.27757585370942073,50,10,0.2,42,0.0001,16,128,2,0.4,0.5,1
3aa3d2417362,20,trial_0020_GIN,GIN,success,,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/runs/trial_0020_GIN/Modelos/trial_0020_GIN.pt,12.903,RMSE,min,0.838396808777475,0.702909208968254,0.6765177248677249,0.7175280650348512,0.7183057464349332,0.2630238426230209,50,10,0.2,42,0.0001,16,128,3,0.4,0.5,1
