model,source_file,rmse,pearson,spearman,status,trials,path
DeepDTA,deepdta_hyperparameter_trials.csv,2.181647,0.900940,,completed,12,/home/mohamed/Studies/stage/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_134940/reports/deepdta_hyperparameter_trials.csv
DeepDTA,deepdta_hyperparameter_trials.csv,3040.258186,0.586239,,completed,12,/home/mohamed/Studies/stage/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260504_100414/reports/deepdta_hyperparameter_trials.csv
DeepDTA,deepdta_hyperparameter_trials.csv,0.614569,0.647299,,completed,15,/home/mohamed/Studies/stage/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260504_140750/reports/deepdta_hyperparameter_trials.csv
DeepDTA,deepdta_hyperparameter_trials.csv,0.706260,0.621356,,completed,15,/home/mohamed/Studies/stage/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260504_141635/reports/deepdta_hyperparameter_trials.csv
DeepDTA,deepdta_hyperparameter_trials.csv,0.614969,0.635311,,completed,15,/home/mohamed/Studies/stage/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260506_090241/reports/deepdta_hyperparameter_trials.csv
DeepDTA,deepdta_hyperparameter_trials.csv,0.589797,0.703530,,completed,15,/home/mohamed/Studies/stage/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260506_090320/reports/deepdta_hyperparameter_trials.csv
DeepDTA,deepdta_hyperparameter_trials.csv,0.716219,0.490423,,completed,15,/home/mohamed/Studies/stage/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260506_090353/reports/deepdta_hyperparameter_trials.csv
EGNN,best_config_egnn.yaml,1.282611,0.254523,0.348841,computed,1,/home/mohamed/Studies/stage/TrabajoInvestigacion/EGNN/Results_EGNN/best_config_egnn.yaml
EGNN,egnn_hyperparameter_trials.csv,1.282611,0.254523,0.348841,completed,1,/home/mohamed/Studies/stage/TrabajoInvestigacion/EGNN/Results_EGNN/egnn_hyperparameter_trials.csv
EGNN,metrics_per_split.csv,1.153828,0.297099,0.520988,completed,5,/home/mohamed/Studies/stage/TrabajoInvestigacion/EGNN/Results_EGNN/trial_001/metrics_per_split.csv
EGNN,metrics_summary.csv,1.282611,0.254523,0.348841,completed,3,/home/mohamed/Studies/stage/TrabajoInvestigacion/EGNN/Results_EGNN/trial_001/metrics_summary.csv
Experiment,trials.csv,,,,completed,240,/home/mohamed/Studies/stage/TrabajoInvestigacion/hyperparameter_Search/trials.csv
WideDTA,widedta_hyperparameter_trials.csv,0.642904,0.615680,,completed,15,/home/mohamed/Studies/stage/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131135/reports/widedta_hyperparameter_trials.csv
WideDTA,widedta_hyperparameter_trials.csv,0.768415,0.566364,,completed,15,/home/mohamed/Studies/stage/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131307/reports/widedta_hyperparameter_trials.csv
WideDTA,widedta_hyperparameter_trials.csv,0.597479,0.666293,,completed,15,/home/mohamed/Studies/stage/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131325/reports/widedta_hyperparameter_trials.csv
WideDTA,widedta_hyperparameter_trials.csv,0.563642,0.733964,,completed,15,/home/mohamed/Studies/stage/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131348/reports/widedta_hyperparameter_trials.csv
WideDTA,widedta_hyperparameter_trials.csv,0.676080,0.548126,,completed,15,/home/mohamed/Studies/stage/TrabajoInvestigacion/WideDTA/results/widedta_hpo/runs/run_20260506_131408/reports/widedta_hyperparameter_trials.csv
