pdb_id,pqr_ok,pqr_method,pqr_atoms,pqr_nonzero_charges,pqr_sum_abs_charge,ligand_ok,ligand_atoms,ligand_nonzero_charges,ligand_sum_abs_charge,error,pqr_path,ligand_mol2
7GBZ,True,existing,4684,4684,1165.314399999999,True,16,14,1.3908,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GBZ_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GBZ/7GBZ_ligand.mol2
7GHB,True,existing,4699,4699,1169.689999999999,True,26,26,2.7703,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GHB_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GHB/7GHB_ligand.mol2
7GBV,True,existing,4671,4671,1159.1796,True,20,20,1.5894000000000001,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GBV_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GBV/7GBV_ligand.mol2
7GBS,True,existing,4684,4684,1164.9851999999998,True,18,18,1.8265999999999998,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GBS_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GBS/7GBS_ligand.mol2
7GEK,True,existing,4671,4671,1159.1796,True,17,17,2.0921,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GEK_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GEK/7GEK_ligand.mol2
7GL6,True,existing,4665,4665,1155.0534000000002,True,24,23,2.1254,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GL6_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GL6/7GL6_ligand.mol2
7GBL,True,existing,4684,4684,1164.9851999999998,True,22,22,3.182400000000001,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GBL_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GBL/7GBL_ligand.mol2
7GH1,True,existing,4684,4684,1165.2211999999993,True,26,25,2.7588999999999997,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GH1_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GH1/7GH1_ligand.mol2
7GEL,True,existing,4687,4687,1165.3431999999993,True,20,20,2.1683,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GEL_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GEL/7GEL_ligand.mol2
7GGL,True,existing,4671,4671,1159.1796,True,24,23,1.7481000000000002,,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/pqr/7GGL_pocket.pqr,/home/mohamed/Studies/stage/TrabajoInvestigacion/data_urv/pdbbind_like/URV/refined/7GGL/7GGL_ligand.mol2
