trial_id,dataset,lr,batch_size,epochs,train_rmse,train_pearson,val_rmse,val_pearson,test_rmse,test_pearson,checkpoint_path,duration_seconds,status,error_message
trial_001,kiba,0.001,4,100,2.568648406519902,0.8650828040230064,2.7837921318515484,0.840684164263481,2.6945253763632393,0.8483393266512878,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_134940/models/trial_001/deepdta_best.pt,3189.44,success,
trial_002,kiba,0.001,8,100,2.1419253818359407,0.9062978209101463,2.4035122070580344,0.8809565770069704,2.3618885521900497,0.883386072874896,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_134940/models/trial_002/deepdta_best.pt,1066.596,success,
trial_003,kiba,0.001,16,100,1.8096724724851354,0.9343302139011681,2.20047378040489,0.9009784487239243,2.2037407120682015,0.8986585072282982,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_134940/models/trial_003/deepdta_best.pt,577.465,success,
trial_004,kiba,0.00075,4,100,2.642439228318066,0.857345756846082,2.846297603038627,0.8330766381418396,2.741699797944408,0.8425886106224473,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_134940/models/trial_004/deepdta_best.pt,2008.193,success,
trial_005,kiba,0.00075,8,100,2.103971018615756,0.9101575900923872,2.357331049570058,0.8862150901368953,2.3291668098818517,0.8869104745608081,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_134940/models/trial_005/deepdta_best.pt,1070.103,success,
trial_006,kiba,0.00075,16,100,1.7637404570561999,0.9371698525742121,2.205098858122797,0.9001166262393425,2.1816471361857213,0.9009398648383015,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_134940/models/trial_006/deepdta_best.pt,590.763,success,
trial_007,kiba,0.0005,4,100,2.558479081946806,0.8665469264402393,2.83225660811482,0.8344579604500366,2.67865454422994,0.8500491256248882,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_134940/models/trial_007/deepdta_best.pt,3159.672,success,
trial_008,kiba,0.0005,8,100,2.148140085607101,0.9057167669109517,2.4200543950623006,0.8791531515564974,2.359335471936912,0.883351193830268,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_134940/models/trial_008/deepdta_best.pt,1864.509,success,
trial_009,kiba,0.0005,16,100,1.715158525398462,0.9407171401294149,2.2194729786842426,0.8988796253495093,2.195883101773134,0.9001030003705534,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_134940/models/trial_009/deepdta_best.pt,1046.939,success,
trial_010,kiba,0.0001,4,100,2.5370736827027525,0.8679110016812506,2.7702085215516243,0.8415974070297378,2.716146320607883,0.8454419473381382,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_134940/models/trial_010/deepdta_best.pt,4135.553,success,
trial_011,kiba,0.0001,8,100,2.183764965879783,0.9022393427867369,2.437399108635082,0.877146220540985,2.3992165514366484,0.87924955029836,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_134940/models/trial_011/deepdta_best.pt,1650.733,success,
trial_012,kiba,0.0001,16,100,2.1435186370029777,0.9056460304199377,2.4675313294596477,0.8732435198891423,2.407322488482642,0.8779714254660489,/home/andromeda/Documentos/el-boukhiari/TrabajoInvestigacion/DeepDTA/results/deepdta_hpo/runs/run_20260429_134940/models/trial_012/deepdta_best.pt,929.208,success,
